timestamp,rtt,jitter
5845432187336,6.07284,6.07284
5845432408129,0.339513,5.73333
5845433479370,0.390252,0.050739
5845436494079,0.433919,0.043667
5845437492562,0.402604,0.031315
5845439222033,0.614805,0.212201
5845440713545,1.56794,0.953132
5845441794730,0.338235,1.2297
5845442487478,0.375364,0.037129
5845444459611,0.407586,0.032222
5845447182880,1.09289,0.685303
5845448414322,0.253847,0.839042
5845452469124,0.430029,0.176182
5845455056044,0.963243,0.533214
5845457911625,0.287421,0.675822
5845459668355,0.254125,0.033296
5845460497174,0.394345,0.14022
5845462873412,0.747469,0.353124
5845463757619,0.435585,0.311884
5845464516514,0.390864,0.044721
5845468548187,0.425752,0.034888
5845470890110,0.730098,0.304346
5845471757651,0.43727,0.292828
5845472574008,0.404845,0.032425
5845473474845,0.390994,0.013851
5845474474587,0.387586,0.003408
5845475475237,0.387327,0.000259
5845476449350,0.400049,0.012722
5845478224691,0.624712,0.224663
5845479497447,1.3489,0.724191
5845480334896,0.973039,0.375864
5845480929256,0.68521,0.287829
5845481552764,0.385845,0.299365
5845485194629,0.421715,0.03587
5845485393422,0.304162,0.117553
5845491874331,5.6894,5.38524
5845492219529,0.513343,5.17606
5845493326899,1.20529,0.691951
5845493787558,0.625934,0.57936
5845494353215,0.328679,0.297255
5845495591602,0.507325,0.178646
5845496470365,0.403438,0.103887
5845499303836,1.57221,1.16878
5845500624054,1.51446,0.057759
5845504166643,2.98739,1.47294
5845504498711,0.561453,2.42594
5845505971760,1.56068,0.999224
5845506482548,0.664544,0.896133
5845507729934,1.35335,0.688803
5845508198001,0.612675,0.740672
5845512617241,4.51265,3.89997
5845514945961,2.48299,2.02965
5845518410866,1.31603,1.16696
5845518958301,0.727136,0.588898
5845521621719,2.43568,1.70855
5845522187339,0.765117,1.67056
5845522611665,0.507102,0.258015
5845527632433,1.11706,0.609954
5845528229793,0.756376,0.36068
5845528578694,0.461899,0.294477
5845532365945,0.326568,0.135331
5845534005196,0.482381,0.155813
5845535000290,0.816653,0.334272
5845535645853,0.446252,0.370401
5845536476506,0.383901,0.062351
5845537423360,0.337235,0.046666
5845538407010,0.323161,0.014074
5845539388531,0.305569,0.017592
5845540947560,0.478677,0.173108
5845541926766,0.804116,0.325439
5845542567329,0.445955,0.358161
5845543418982,0.333347,0.112608
5845544373540,0.323625,0.009722
5845545396856,0.31318,0.010445
5845546395709,0.311939,0.001241
5845547964072,0.458919,0.14698
5845549386770,1.17793,0.719006
5845549968667,0.743339,0.434586
5845550520973,0.399956,0.343383
5845551415384,0.326809,0.073147
5845552396849,0.339291,0.012482
5845553399887,0.315365,0.023926
5845554957695,0.467418,0.152053
5845555954419,0.823987,0.356569
5845556653722,0.47177,0.352217
5845557417838,0.334253,0.137517
5845558407655,0.322032,0.012221
5845559386694,0.303513,0.018519
5845560405936,0.34242,0.038907
5845561982261,0.469621,0.127201
5845562996059,0.838523,0.368902
5845563627345,0.436215,0.402308
5845564499793,0.419974,0.016241
5845565455444,0.367198,0.052776
5845566409446,0.323013,0.044185
5845567438892,0.350513,0.0275
5845569107253,0.529529,0.179016
5845569306675,0.278958,0.250571
5845570760225,0.470178,0.19122
5845571561322,0.348623,0.121555
5845572429085,0.375938,0.027315
5845573420087,0.335346,0.040592
5845574401589,0.319994,0.015352
5845576063469,0.514732,0.194738
5845577388039,1.14291,0.628175
5845577863198,0.638601,0.504306
5845578377800,0.377864,0.260737
5845579407005,0.321513,0.056351
5845580399544,0.34755,0.026037
5845581403231,0.320476,0.027074
5845582963204,0.471288,0.150812
5845584320089,1.17944,0.708155
5845584813729,0.665322,0.514121
5845585563883,0.372124,0.293198
5845586443294,0.355976,0.016148
5845587410278,0.324162,0.031814
5845588648535,0.599305,0.275143
5845592293844,1.24653,0.64723
5845592578968,0.450714,0.795821
5845593434176,0.34679,0.103924
5845594393864,0.311532,0.035258
5845595406661,0.322439,0.010907
5845596378349,0.326587,0.004148
5845600660369,0.54262,0.216033
5845601777591,0.457548,0.085072
5845602489098,0.33205,0.125498
5845603399805,0.31281,0.01924
5845604404769,0.346513,0.033703
5845605403697,0.321273,0.02524
5845606386439,0.306198,0.015075
5845607941728,0.466325,0.160127
5845608954304,0.81632,0.349995
5845609599941,0.446122,0.370198
5845610414761,0.329476,0.116646
5845611394411,0.311977,0.017499
5845612366765,0.320643,0.008666
5845613388303,0.308013,0.01263
